                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.67231,                0.35783,                0.85408,                0.96752,                0.96467,                0.99119,                0.55478,                 1.5802,                0.54171,                    1.2,              0.0004952,              0.0004952,              0.0004952
                     78,                0.66798,                0.35408,                0.85258,                0.97169,                0.97773,                0.99096,                  0.553,                 1.6033,                0.53873,                 1.2033,              0.0004754,              0.0004754,              0.0004754
                     79,                0.66275,                0.35197,                0.85745,                0.96371,                0.96771,                0.98947,                0.55236,                 1.6051,                0.55286,                 1.1978,              0.0004556,              0.0004556,              0.0004556
                     80,                 0.6524,                0.35041,                0.85053,                0.95179,                0.97571,                0.98657,                0.55035,                 1.6194,                0.55155,                 1.2065,              0.0004358,              0.0004358,              0.0004358
                     81,                0.65708,                0.34865,                 0.8529,                0.97565,                0.97311,                0.99207,                0.56454,                 1.5719,                0.53509,                 1.1836,               0.000416,               0.000416,               0.000416
                     82,                0.65855,                0.35193,                0.85492,                0.97162,                0.95951,                0.98899,                0.55721,                 1.5915,                0.55584,                 1.2008,              0.0003962,              0.0003962,              0.0003962
                     83,                0.65744,                0.34958,                0.85556,                 0.9696,                0.98178,                0.99155,                0.55252,                 1.5949,                0.56062,                 1.2018,              0.0003764,              0.0003764,              0.0003764
                     84,                 0.6502,                0.34623,                0.85237,                0.97389,                0.98152,                0.99234,                 0.5666,                 1.5752,                0.54039,                 1.1907,              0.0003566,              0.0003566,              0.0003566
                     85,                 0.6495,                0.34624,                0.85161,                0.97254,                0.98178,                0.99196,                0.56385,                 1.5743,                0.52948,                 1.1874,              0.0003368,              0.0003368,              0.0003368
                     86,                0.64799,                0.34314,                0.85157,                0.97321,                0.98178,                 0.9916,                 0.5491,                 1.5837,                0.54549,                 1.1943,               0.000317,               0.000317,               0.000317
                     87,                0.63274,                0.33959,                0.84843,                0.97168,                0.97571,                0.98932,                0.55814,                 1.6035,                0.54507,                 1.1968,              0.0002972,              0.0002972,              0.0002972
                     88,                0.63461,                0.33825,                0.84932,                0.95717,                0.98785,                0.99113,                0.56151,                 1.5751,                0.52567,                 1.1887,              0.0002774,              0.0002774,              0.0002774
                     89,                0.63697,                0.33849,                0.85111,                0.96335,                0.98178,                0.99232,                0.55961,                 1.5994,                0.53884,                  1.202,              0.0002576,              0.0002576,              0.0002576
                     90,                0.62804,                0.33603,                0.84766,                0.97258,                0.97166,                0.99174,                0.56642,                 1.5766,                 0.5351,                 1.1909,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.3258,                0.51916,                 1.0657,                0.96403,                0.97648,                0.98925,                0.55465,                 1.6223,                0.55083,                 1.2062,               0.000218,               0.000218,               0.000218
                     92,                 1.3065,                 0.5077,                 1.0561,                0.96996,                0.97571,                0.99099,                 0.5555,                 1.6266,                0.54087,                 1.1999,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.2954,                0.50686,                 1.0495,                0.96034,                0.98042,                 0.9903,                0.56082,                 1.5879,                0.52961,                 1.1894,              0.0001784,              0.0001784,              0.0001784
